Company_Name,DIVISION,Item_Code,Item_Name,Packing,Expiry,BatchNo,SaleRate,MRP,SaleScm1,SaleScm2,BATCHQTY,GSTPER,Item_Date,Date,Time
ALEMBIC,A10,1186,"ALEMBIC WIKORYL TABS.",10`S,03/24,2108000447,34.29,48,9,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1187,"WIKORYL SYP.",60ML,04/24,2108000658,49.78,69.7,9,1,67,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1190,"ZEET EXPT.SEE COUGH SYP",100ML,07/19,1708001032,55.32,77.45,9,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1196,"ALTHROCIN  KID TABS",10`S,01/19,1708000143,19.93,27.9,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A6,1199,"KOOL-IT CAP",10`S,01/18,DG6053002,147.75,191.95,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,121,"AMCLOX   CAP",10`S,09/17,MGSAC-08,52.59,69.02,5,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,12150,"URISPAS TAB(10`S)",10`S,,,108.49,142.39,0,0,0,0.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,1217,"POTKLOR SYP.*",200ML,06/23,LPR-1228,46.04,61.39,0,0,274,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,1218,"VENUSMIN - 300*",10`S,05/23,TVBR-253,129.67,181.54,0,0,80,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,1222,"VENUSMIN - 150",10`S,12/22,TVAR-39,67.96,95.14,0,0,48,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,1226,"GESTIN TABS.*",10`S,03/23,TGR-83,145.36,203.5,21,4,277,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WALTER B",WB1,166,"DROTIN TAB.",10`S,05/21,TDR-546,42.37,59.32,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ERIS,ER2,10929,".OTOGESIC EAR DROP SEE 10ML",5ML,,,47.74,62,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3302,"PEDIA SYP.",60ML,,,28.86,37.5,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ERIS,ER4,109122,"RARICAP TAB",40`S,05/24,"GRAF21004      ",181.59,254.22,0,0,24,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ERIS,ER4,109121,"RARICAP=L SUSP",150ML,11/22,"NOL1050        ",131.58,184.21,0,0,123,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,J8,3303,"RETINO-A 0.05%",20GM,02/23,FG2102,171.43,240,0,0,80,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,J8,3304,"RETINO-A 0.025%",20GM,09/22,FF2106,164.29,230,0,0,197,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,5513,"BETNOVATE  SKIN CREAM",20GM,04/23,XD7G,13.42,18.79,0,0,739,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,5514,"BETNOVATE N CREAM",20GM,07/22,626H,26.14,36.6,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,5515,"BETNOVATE C CREAM",30GM,03/23,MJ3R,38.07,53.3,16,1,7627,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,5518,"BECADEXAMIN CAPS.",30`S,09/22,BG937,31.65,42.2,0,0,1279,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"KOYE PHA",KO1,5528,".CELIN - 500 TAB",25`S,01/20,BJ794,13.77,18.35,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G4,5530,".CELIN   CHEWA  TAB*",20`S,08/19,EP134,11.99,15.98,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,5532,".COBADEX FORTE CAPS*",15`S,03/18,RE974,14.1,18.8,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,555,"BETNESOL TAB.",20`S,04/23,WG3V,9.18,12.85,0,0,2985,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,556,"BETNESOL ORAL DROP",15ML,06/22,KB451,13.79,19.3,0,0,288,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,5562,"BETNESOL FORTE TAB",20`S,04/23,YL6L,15.21,21.3,0,0,232,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,557,"BETNESOL INJ. 1ML*",8`S,04/23,GS560,28.08,37.44,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GLAXO,G1,558,"BETNESOL N E/E DROP",5ML,07/22,GV243,13,18.2,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3310,"GASTRACTIV TABS.",10`S,11/21,N096,18.07,25.3,0,0,34,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3318,"IMODIUM CAPS.*",4`S,04/24,N348,12.16,15.8,0,0,1684,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ERIS,ER2,10930,"STUGIL TAB. *",10`S,03/24,"GSUA21004      ",113.22,158.51,0,0,5,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,J8,332,"DAKTARIN GEL.",20GM,08/23,FA2007,66.43,93,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3320,"IMOSEC  - M TAB.",4`S,,,19.25,25,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,J8,3327,"NIZRAL TABS.",10`S,,,267.17,347,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALNICHE,00,3330,"NIZRAL SHAMPOO",50ML,02/23,NR1009,242.85,340,0,0,217,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3333,"STUGERON  -  25 TAB",25`S,03/24,N791,142.14,199,0,0,139,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3334,"STUGERON FORTE TAB",20`S,03/24,N496,305.71,428,0,0,93,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,J8,3339,"SPORANOX CAPS",4`S,02/22,N194,232.14,325,0,0,425,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,J8,3341,"NIZRAL CREAM *",15GM,12/20,FB1901,117.14,164,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,336,"DICARIS TABS .(CH)",1`S,02/21,N024,12.14,17,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,337,"DICARIS TAB  (ADULT)",1`S,02/21,N094,32.86,46,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"SERDIA L",00,442,"NATRILIX TABS.",10`S,02/24,AT032101,70,98,0,0,248,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"SERDIA L",00,445,"FLAVEDON -20",10`S,12/23,VS062101,64.29,90,0,0,120,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"SERDIA L",00,446,"COVERSYL-- 4",10`S,03/23,AT102103,106.07,148.5,0,0,537,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"SERDIA L",00,447,"COVERSYL AM 4/5",10`S,02/23,AT162102,127.86,179,0,0,401,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"SERDIA L",00,448,"DIAMICRON TAB",10`S,10/23,82003,50,70,0,0,38,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"SERDIA L",00,44181,"DAFLON - 500",10.S,04/24,AT292103,98.21,137.5,0,0,947,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,772,"DICLOMOL SP TAB",10`S,03/23,DD0011,61.43,86,0,0,6,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7733,"DICLOMOL TAB.",10`S,03/24,PD0561,55.36,77.5,0,0,278,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7741,"BETADINE OINT. 125  GM",125GM,02/23,PC0271,205.71,288,0,0,24,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7742,"BETADINE OINT 250  GM",250GM,11/22,PP0290,358.57,502,0,0,24,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7744,"BETADINE SOL(5% )500 ML *",500ML,04/23,ME0151,163.8,218.4,0,0,116,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7745,"BETADINE VAG PES*",10`S,02/24,MC0071,128.57,180,0,0,37,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7746,"BETADINE S.SCRUB 7.5%",500ML,10/21,PE0020,828.57,1160,0,0,11,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV5,881,"BENACE - 5",10`S,,,65.96,85.7,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV5,8824,"LOPRESOR - 100",10`S,,,63.52,82.5,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV5,8822,"LOPRESOR - 25",10`S,,,26.2,31.91,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV1,8826,"MACALVIT SYP",180ML,07/22,203KBAH1,120,168,0,0,131,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV7,8840,"TEGRITAL SYP*",100ML,03/24,402KBAS1,16.35,21.24,0,0,68,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV3,8841,"TRIOPTAL - 150",10`S,11/22,Z01CPAY9,62.5,87.5,0,0,29,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV1,8845,"VOLTAFLAM - 50*",10`S,01/23,204CPBA0,16.05,20.85,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV1,8847,"VOVERAN-D TAB*",10`S,03/23,405MBBB1,16.43,21.35,0,0,478,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV1,8848,"VOVERAN EMULGEL 30GM",30GM,02/24,317EEBH1,89.29,125,4,61,252,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV7,88411,"CALCIUM SAND.10% INJ",10ML,04/23,518SPAA1,61.79,86.51,0,0,180,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV7,889,"CO-DIOVAN FCT - 160/25",14`S,06/23,TEW70,664.29,930,0,0,7,12.00,30-Jun-2011,11-Aug-2021,11:30:03
NOVARTIS,NV7,888,"CO-DIOVAN - 80/12.5",14`S,12/21,AMPA1FW,531.43,744,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WANDER L",WN,9913,"CLAMIST TAB.",10`S,04/23,VCT21107,77.22,108.1,10,1,36,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WANDER L",WN,9915,"CLAMIST SYRUP",60ML,11/21,VCS91204,63.43,88.8,10,1,38,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WANDER L",WN,993,".CDENSE TAB",15`S,08/21,VDF90912,108.36,151.7,10,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"WANDER L",WN,996,"NURTURE CHOCOLATE",200GM,08/22,NCP10304,233.09,343.8,9,1,39,18.00,30-Jun-2011,11-Aug-2021,11:30:03
"WANDER L",WN,998,"SENASOF TABS.",10`S,04/24,ASF10505,77.71,108.8,10,1,255,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ETHNOR,JU,3342,"SIBELIUM - 10 *",30`S,03/24,N453,122.31,158.9,0,0,190,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A5,11107,"AXOGURD CAP",10`S,10/22,2008001403,114.36,160.1,0,0,11,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7749,"BETADINE S. SCURB 7.5%*",50ML,10/22,ME0271,67.62,90.16,0,0,42,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A4,11111,"LAVETA-M TAB",10`S,05/23,2108000767,120.43,168.6,0,0,25,12.00,30-Jun-2011,11-Aug-2021,11:30:03
WINTHROP,WM,7757,"CORION INJ.5000 *",1AMPS,01/18,150108,297.1,389.95,0,0,0,5.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,002,"ACNESOL LOTION",25ML,02/23,AL231,62.48,82,0,0,14,5.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0015,"NORMAXIN TAB.",10`S,04/24,NX870521,16.43,23,0,0,937,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0016,"NIDAGEST TAB.",10`S,08/17,NG020915,58.88,76.5,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0017,"NAC SR 100 TAB",10`S,02/24,NC030321,30.71,43,0,0,78,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0018,"NAC.50 TAB.",10`S,12/23,NA010121,11.43,16,0,0,67,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0019,"NAC.PLUS TAB.*",10`S,02/24,NB030321,18.57,26,0,0,75,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0022,"NAC GEL OINT-SEE NAC NANO GEL",30GM,,,38.5,50,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,03101,"SYSTAFLAM GEL",25GM,03/23,937,50,70,0,0,59,12.00,30-Jun-2011,11-Aug-2021,11:30:03
SYSTOPIC,00,0037,"TOPINATE CREAM",30GM,02/24,709,46.43,65,0,0,110,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R15,32006705,"AEROCORT INHALER",200MD,04/23,SA11325,161.62,226.27,0,0,95,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006745,"ASTHALIN  - 2*",30`S,01/24,B510157,3.84,5.37,0,0,264,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R20,32006895,"CIPLAR - 40*",15`S,05/24,SB10579,33.11,46.36,0,0,371,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006746,"ASTHALIN  - 4 *",30`S,03/24,B510425,4.31,6.04,0,0,479,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006753,"ASTHALIN SA-8",10`S,09/19,SA65639,6.76,8.78,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006754,"ASTHALIN SYRUP*",100ML,01/23,SC10056,12,16.8,0,0,502,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R15,32006750,"ASTHALIN RESP SOL.",15ML,01/23,SA10647,8.4,11.76,0,0,187,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R15,32006744,".ASTHALIN ROTACAPS",30`S,10/22,SA94334,5,158,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"FDC LIMI",F3,42244,"ZOCON TRANSGEL",15GM,,,39.59,51.44,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R15,32015875,"ASTHALIN INHALER *",200MD,04/23,SA11309,101.79,142.51,0,0,813,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007720,"THEO-ASTHALIN FORTE",10`S,07/19,A760562,4.58,5.95,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007721,"THEO-ASTHALIN SR",10`S,01/19,SA60914,6.75,8.77,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32015718,"NEW ASTHALIN EXP.+",100ML,09/21,CFCD2010,56.18,78.65,4,1,10,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R17,32006802,"BECLATE-200 INH.",200MD,12/19,BA70287,267.14,374,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006892,"CIPLACTIN TABS",15`S,02/24,F110046,31.84,44.58,4,1,391,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,6631,"CIPLACTIN SYP.",100ML,,,25.02,32,0,0,0,0.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R20,32006894,"CIPLAR -10*",15`S,05/24,SB10645,13.84,19.38,0,0,564,12.00,30-Jun-2011,11-Aug-2021,11:30:03
GENTICA,AR3,97275,"NEBI - 5",10`S,02/23,SPC210431,64.07,89.7,0,0,207,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006904,"CIPLOX - 250 *",10`S,10/23,AFB20I96,16.54,23.15,13,1,210,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006905,"CIPLOX - 500 *",10`S,10/23,AFB20H22,29.09,40.73,10,1,1675,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006911,"CIPLOX  - TZ",10`S,04/24,SB10480,101.28,141.79,5,1,1552,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R14,32013033,"DYTOR  - 5",15`S,04/24,SN10908,38.5,53.9,0,0,656,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32006906,"CIPLOX - 750",10`S,03/23,SA01928,102.1,142.94,0,0,17,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,664,"CIPLOX EYE OINT.",5GM,,,4.28,5.56,0,0,0,0.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,6642,"CIPLIN SUSP",50ML,,,9.57,11.9,0,0,0,0.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R22,32006988,"DANOGEN - 50",10`S,03/23,GH00375,110.28,154.39,0,0,21,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R22,32006985,"DANOGEN -100*",10`S,07/22,20S2HCA002,226.74,317.43,0,0,52,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R22,32006986,"DANOGEN - 200*",10`S,01/24,GH10241,406.09,568.53,0,0,64,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R22,32007117,FERTOMID-50*,10`S,04/24,SA11162,66.71,93.4,9,1,253,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ABBOTT,N4,87506,"METGLAR - 1",10`S,,,41.97,55.09,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R22,32007116,FERTOMID-25,10`S,11/23,SA04348,49.69,69.57,9,1,106,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R22,32007115,"FERTOMID-100 *",5`S,03/24,SA10792,46.9,65.66,0,0,26,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007202,"IBUGESIC PLUS TAB",20`S,03/24,AFB21713,19.64,27.5,14,1,1113,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007197,"IBUGESIC PLUS SUP.",60ML,04/24,SE10344,23.29,32.6,9,1,223,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,661020,"IBUGESIC (60ML)",60ML,,,10.15,13.18,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,666,"LARPOSE-1  MG",10`S,,,13.85,18,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,6662,"LARPOSE 2  MG",10`S,,,18.09,23.5,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,32007314,"MEBEX TABS*",6`S,07/20,SB70793,11.37,15.92,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,32007313,"MEBEX SUSP.",30ML,01/20,J470050,15.36,19.95,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R24,32007327,"METOLAR  - 50*",15`S,05/24,SA11414,42.61,59.65,9,1,271,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R24,32007324,"METOLAR -100",10`S,01/23,KG00117,57.91,81.07,9,1,49,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ZYDUS,Z8,25552,".SKINLITE  CREAM",20GM,08/20,ZAV075,141.57,198.2,5,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,6669,"MICOGEL CREAM",15GM,,,16.78,21.8,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32005901,"NORFLOX - 200",10`S,06/20,AFI8177,21.08,29.51,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32008728,"NORFLOX - 400",10`S,04/23,STC21289,50.69,70.97,5,1,658,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007424,"NORFLOX EYE DROP",10ML,02/24,A010094,9.51,13.31,0,0,28,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007439,"NOVAMOX - 250  CAP*",15`S,04/23,KO10179,26.51,37.12,9,1,146,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007433,"NOVAMOX - 500  CAPS *",15`S,03/23,KO10136,77.64,108.69,9,1,83,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007443,"NOVAMOX SYP. *",30ML,07/21,KP00063,19.97,27.95,9,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007445,"NOVAMOX SYP",60ML,06/21,KP00052,39.93,55.9,9,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007434,"NOVAMOX DROPS",10ML,08/22,KP10040,38.5,53.9,9,1,25,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R27,32005911,"NOVACLOX CAPS *",10`S,02/19,AEH7037,54.1,71,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R27,32008732,"NOVACLOX PAED.TAB",15`S,,,36.57,48,4,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R28,32013108,"NUTROLIN-B PLUS",15`S,01/23,RC1027,32.79,45.91,10,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R10,6684,"NEW  NUTROLIN-B SYRUP",60ML,02/19,ACP7011,28.76,40,9,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,6685,".PRESOLAR CAPS.",10`S,,,32.72,42.5,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R55,6689,"PIROX GEL",30GM,,,33.05,43,4,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R26,32007722,"THEO-ASTHALIN TAB",30`S,04/24,C110539,10.19,14.27,0,0,121,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R29,32007112,"FELOGARD - 5",10`S,05/19,L560116,47.72,62,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
"CIPLA LT",R17,32006803,"BECLATE-200 R/C",30`S,11/23,BA03202,76.06,106.48,0,0,13,12.00,30-Jun-2011,11-Aug-2021,11:30:03
